,h1,art,price,price2,gold,gold2,weight,gems,gems2,url,d1,d0
12982,Золотой пирсинг с фианитами,Артикул: 242314,5094₽,16980₽,"Артикул: 242314;Пирсинг, вставка:  фианит;    
Розовое золото 585 пробы.;Вес изделия: 0.69г;Пирсинг, вставка:  фианит;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/piercing_242314.html,11146-T5R-01&Розовое золото&Фианит&0.69 г,SERGEY GRIBNYAKOV&Пирсинг Золото
12983,Серебряная подвеска - шарм с перламутром,Артикул: 272887,690₽,2300₽,"Артикул: 272887;Подвеска, вставка:  перламутр;    
Серебро 925 пробы.;Вес изделия: 1.53г;Подвеска, вставка:  перламутр;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/pendants_272887.html,S42470-P9R-01&Серебро&Перламутр&1.53 г,SERGEY GRIBNYAKOV
12984,Серебряные серьги,Артикул: 259939,654₽,2180₽,"Артикул: 259939;Серьги    
Серебро 925 пробы.;Вес изделия: 3.13г;Серьги    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/earring_259939.html,S15081-C9W-01&ИТАЛИЯ&Серебро&3.13 г,LINEA&Серебро Италии
12985,"Серебряное шейное украшение с жемчугом, фианитами и камеями",Артикул: 253509,9390₽,31300₽,"Артикул: 253509;Шейное укр., вставка:  камея (морская раковина); жемчуг культивированный; фианит; фианит цветной;    
Серебро 925 пробы.;Вес изделия: 15.67г;Шейное укр., вставка:  камея (морская раковина); жемчуг культивированный; фианит; фианит цветной;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/neck_decoration_253509.html,S91324-H9R-01&Серебро&Фианит; Жемчуг; Камея&15.67 г,Cameo Italiano&Серебро Италии
12986,Серебряное кольцо,Артикул: 261251,2890₽,5780₽,"Артикул: 261251;Кольцо    
Серебро 925 пробы.;Вес изделия: 3.35г;Кольцо    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/ring_261251.html,S15388-K9W-01&Серебро&3.35 г,SERGEY GRIBNYAKOV&СЕРЕБРО. FASHION 
12987,Серебряное кольцо с фианитами,Артикул: 157472,774₽,2580₽,"Артикул: 157472;Кольцо, вставка:  фианит;    
Серебро 925 пробы.;Вес изделия: 5.54г;Кольцо, вставка:  фианит;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/ring_157472.html,S52022-K9W-01&Серебро&Фианит&5.54 г,SERGEY GRIBNYAKOV&СЕРЕБРО. Классика
12988,Серебряная подвеска с аметистом,Артикул: 276587,8394₽,27980₽,"Артикул: 276587;Подвеска, вставка:  аметист;    
Серебро 925 пробы.;Вес изделия: 15.88г;Подвеска, вставка:  аметист;    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/pendants_276587.html,3432-053-08&РОССИЯ&Серебро&Аметист&15.88 г,Spika Gold&NATURIKA
12989,Серебряные серьги,Артикул: 267937,1074₽,3580₽,"Артикул: 267937;Серьги    
Серебро 925 пробы.;Вес изделия: 2.99г;Серьги    
Серебро 925 пробы.",,,,,https://sunlight.net/catalog/earring_267937.html,S15949-C9W-01&Серебро&2.99 г,SERGEY GRIBNYAKOV&Гладкие серебряные украшения
12990,Золотое кольцо с дымчатым кварцем и фианитами,Артикул: 158965,11990₽,39967₽,"Артикул: 158965;Кольцо с 1 кварцем дымчатым, 1.38 карат, тип огранки Б; фианит;    
Розовое золото 585 пробы.;Вес изделия: 2.2г;Кольцо с 1 кварцем дымчатым, 1.38 карат, тип огранки Б; фианит;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/ring_158965.html,1-10304-1-08*&РОССИЯ&Розовое золото&Фианит; Кварц дымчатый&2.2 г,SERGEY GRIBNYAKOV
12991,Золотое кольцо с фианитами,Артикул: 190246,4840₽,16133₽,"Артикул: 190246;Кольцо, вставка:  фианит;    
Розовое золото 585 пробы.

Костромские ювелирные украшения: традиционный русский стиль -  Коллекция украшений с традиционными русскими дизайнами. Украшения несут в себе ювелирные традиции, любимые многими поколениями российских женщин, которые сохранят свою ценность на многие года.;Вес изделия: 1.12г;Кольцо, вставка:  фианит;    
Розовое золото 585 пробы.;Костромские ювелирные украшения: традиционный русский стиль -  Коллекция украшений с традиционными русскими дизайнами. Украшения несут в себе ювелирные традиции, любимые многими поколениями российских женщин, которые сохранят свою ценность на многие года.",,,,,https://sunlight.net/catalog/ring_190246.html,Т142015507*&РОССИЯ&Розовое золото&Фианит&1.12 г,SERGEY GRIBNYAKOV
12992,Золотой браслет с бриллиантами,Артикул: 92643,11394₽,37980₽,"Артикул: 92643;Браслет с 10 бриллиантами, огранка круг 17 граней, 0.04 карат, цвет 2, чистота 2, тип огранки Б;    
Белое золото 585 пробы.;Вес изделия: 1.49г;Браслет с 10 бриллиантами, огранка круг 17 граней, 0.04 карат, цвет 2, чистота 2, тип огранки Б;    
Белое золото 585 пробы.",,,,,https://sunlight.net/catalog/bracelets_92643.html,70193-B5W-01&РОССИЯ&Белое золото&Бриллиант&1.49 г,Бриллианты Якутии&Бриллианты. Fashion Diamonds
12993,Золотые серьги с бриллиантами,Артикул: 270842,19794₽,65980₽,"Артикул: 270842;Серьги с 2 бриллиантами, огранка круг 57 граней, 0.08 карат, цвет 4, чистота 6, тип огранки А, 36 бриллиантами, огранка круг 17 граней, 0.06 карат, цвет 2, чистота 3, тип огранки Б;    
 585 пробы.

Невероятная привлекательность украшений из этой коллекции обусловлена использованием в изделиях сверкающего алмазного диска, который позволяет визуально увеличить и эффектно представить бриллианты взору окружающих.;Вес изделия: 1.37г;Серьги с 2 бриллиантами, огранка круг 57 граней, 0.08 карат, цвет 4, чистота 6, тип огранки А, 36 бриллиантами, огранка круг 17 граней, 0.06 карат, цвет 2, чистота 3, тип огранки Б;    
 585 пробы.;Невероятная привлекательность украшений из этой коллекции обусловлена использованием в изделиях сверкающего алмазного диска, который позволяет визуально увеличить и эффектно представить бриллианты взору окружающих.",,,,,https://sunlight.net/catalog/earring_270842.html,"20246-С5R-01&Белое золото, Розовое золото&Бриллиант&1.37 г",SUNLIGHT&Бриллианты. Miracle
12994,Золотые серьги,Артикул: 290549,3894₽,12980₽,"Артикул: 290549;Серьги    
Розовое золото 585 пробы.;Вес изделия: 0.7г;Серьги    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_290549.html,1024901/9*&РОССИЯ&Розовое золото&0.7 г,SERGEY GRIBNYAKOV&Детская коллекция
12995,"Золотые серьги с гранатом, цирконием и родолитами",Артикул: 260544,20990₽,104950₽,"Артикул: 260544;Серьги с 2 родолитами, 0.40 карат, тип огранки Б;2 гранатами, 0.60 карат, тип огранки Б;2 гранатами, 1.00 карат, тип огранки Б;2 родолитами, 0.30 карат, тип огранки Б;2 гранатами, 0.40 карат, тип огранки Б; куб. цирконий;    
Розовое золото 585 пробы.

Насыщенный и страстный ярко-красный гранат, заключенный в роскошную золотую оправу. Гранат - символ любви, верности и мужества.;Вес изделия: 3.89г;Серьги с 2 родолитами, 0.40 карат, тип огранки Б;2 гранатами, 0.60 карат, тип огранки Б;2 гранатами, 1.00 карат, тип огранки Б;2 родолитами, 0.30 карат, тип огранки Б;2 гранатами, 0.40 карат, тип огранки Б; куб. цирконий;    
Розовое золото 585 пробы.;Насыщенный и страстный ярко-красный гранат, заключенный в роскошную золотую оправу. Гранат - символ любви, верности и мужества.",,,,,https://sunlight.net/catalog/earring_260544.html,02-52-0080-00К1*&РОССИЯ&Розовое золото&Гранат; Родолит; Цирконий&3.89 г,SERGEY GRIBNYAKOV&ГРАНАТЫ
12996,Золотые серьги с фианитами,Артикул: 326024,33990₽,113300₽,"Артикул: 326024;Серьги, вставка:  фианит;    
Розовое золото 585 пробы.;Вес изделия: 5.05г;Серьги, вставка:  фианит;    
Розовое золото 585 пробы.",,,,,https://sunlight.net/catalog/earring_326024.html,73500*&РОССИЯ&Розовое золото&Фианит&5.05 г,SERGEY GRIBNYAKOV
